Longitude,Latitude,UHI Index
-77.30169667,39.10924667,0.9895440180400028
-77.30038167,39.11336167,0.9761456947600045
-77.300285,39.10843333,0.9948724729599988
-77.299315,39.10788,0.9868555321400035
-77.2993,39.115225,0.9780688798199993
-77.29857667,39.11649833,0.9785805538599985
-77.29818667,39.16847,1.0097131854799963
-77.298055,39.166535,1.0106306669399965
-77.29798,39.16643167,1.0139102233400041
-77.29793667,39.17146,1.0262543251800085
-77.29792333,39.117495,0.9775704428199948
-77.29785167,39.17129667,1.027076969600008
-77.29781,39.16623167,1.0140668122600052
-77.297805,39.17175333,1.0219293728200078
-77.29772,39.16613833,1.0075562177599984
-77.29757667,39.171865,1.0217882202800002
-77.29729667,39.17206,1.0247722412600058
-77.2972,39.16077167,0.9973602588800033
-77.29710667,39.11821,0.9784416077200002
-77.297,39.16379167,1.0138727274399915
-77.29696333,39.17233833,1.0206788600799988
-77.296885,39.12878833,0.9849279374600032
-77.29687,39.10639,0.9905386931400006
-77.29677333,39.16409,1.001585971439997
-77.29673833,39.10631,0.9896631155400025
-77.296675,39.16330667,1.0039546642000043
-77.29662333,39.12991167,0.9966059805400017
-77.29659333,39.16306667,1.0061050097399964
-77.29656167,39.16197667,1.0049140498999936
-77.29654333,39.15968833,0.9976227097400016
-77.29652833,39.11880667,0.9822813551200035
-77.29649167,39.15973833,0.9994444415400039
-77.29644833,39.15989333,0.9988004420599977
-77.29627,39.12627833,0.9858740909800068
-77.29623667,39.13114833,0.9972235189199997
-77.29621333,39.11905,0.9806051870600062
-77.29612333,39.13141,0.9990628966399968
-77.29611333,39.17306833,1.0115040414399932
-77.29605333,39.12598333,0.9817035188000053
-77.29600167,39.119225,0.9806757625000065
-77.29600167,39.13166833,0.9990959788999959
-77.29598,39.15933333,0.9974131936799999
-77.29571167,39.11955833,0.9831304671800034
-77.29563167,39.11967333,0.9829319737000036
-77.29552667,39.14018333,0.9646644894849994
-77.29538833,39.132755,1.000031105399996
-77.29536667,39.12016833,0.9823673706200036
-77.29531667,39.13288167,1.0001832840999958
-77.29522,39.15911333,0.9921442837200013
-77.29518,39.12410833,0.9644058931799889
-77.295145,39.120805,0.9819836167400038
-77.29511,39.13807667,0.9819218604000022
